;název;lokalita;up?esn?ní lokality;region;rok nálezu;p?esné datum;kvalita;vzácnost;stav lokality;velikost vzorku;grupa;další popis;inventarnicislo
1;síra;Santorini;Nea Kameni;?ecko;2024;20240920;;;;;I.  Prvky;mimo zna?ené cesty u fumarol? na sopce Nea Kameni;1
2;arsenopyrit;Nová Ves;halda;Jeseníky;2024;20240816;;;;;II.  Sulfidy;;2
3;chalkopyrit;Bohutín;;Jeseníky;2024;20240816;;;;;II.  Sulfidy;;3
4;chalkopyrit;Št?pánov nad Svratkou;štola Mír;Jižní Morava;2024;20240726;;;;;II.  Sulfidy;d?ív?jší návšt?va se slabšími nálezy 20240420;4
5;galenit;Horní Slavkov;Hubský pe?;Krušné hory;2024;20240722;;;;;II.  Sulfidy;;5
6;molybdenit;Krupka;halda sv. Václav;Krušné hory;2025;20250711;;;;;II.  Sulfidy;;6
7;pyrit;Horní Slavkov;Hubský pe?;Krušné hory;2024;20240722;;;;;II.  Sulfidy;;7
8;bornit;Horní Rokytnice;;Podkrkonoší;2024;20240721;;;;;II.  Sulfidy;;8
9;pyrit;Brník;;St?ední ?echy;2024;20241116;;;;;II.  Sulfidy;d?ív?jší seznamovací návšt?va 20240831, v té pozd?jší jsem pak zahu?el I s botama do jílovitého bahna;9
10;fluorit;Nedv?dice;rulový l?mek;Jižní Morava;2024;20240708;;;;;III.  Halogenidy;;10
11;fluorit;?erný Potok;Kryštofovy Hamry;Krušné hory;2024;20240722;;;;;III.  Halogenidy;;11
12;fluorit;Horní Slavkov;Hubský pe?;Krušné hory;2024;20240722;;;;;III.  Halogenidy;;12
13;fluorit;Krupka;halda sv. Václav;Krušné hory;2025;20250711;;;;;III.  Halogenidy;;13
14;fluorit;Krupka;Prokopský pe?;Krušné hory;2025;20250711;; ;;;III.  Halogenidy;;14
15;fluorit;Alland;;Rakousko;2024;20240704;;;;;III.  Halogenidy;;15
16;fluorit;Kožlí;u Led?e nad Sázavou;Vyso?ina;;;;;;;III.  Halogenidy;;16
17;k?iš?ál;Žulová;Korálové jámy;Jeseníky;2024;20240506;;;;;IV.  Oxidy a hydroxidy;;17
18;kašolong;Rudice;Se?;Jižní Morava;2024;20240622;;;;;IV.  Oxidy a hydroxidy;opakované návšt?vy po bou?ích a pr?tržích: 20240808, 20240908;18
19;k?emen;Tišnov;Kv?tnice;Jižní Morava;2024;20240210;;;;;IV.  Oxidy a hydroxidy;;19
20;k?emen;Rozdrojovice;k?emenný val;Jižní Morava;2024;20240309;;;;;IV.  Oxidy a hydroxidy;;20
21;k?emen;Rudice;Se?;Jižní Morava;2024;20240623;;;;;IV.  Oxidy a hydroxidy;opakované návšt?vy po bou?ích a pr?tržích: 20240808, 20240908;21
22;ametyst;Horní Halže;;Krušné hory;2024;20240722;;;;;IV.  Oxidy a hydroxidy;;22
23;k?emen;Krupka;žíla Lukáš;Krušné hory;2025;20250711;;;;;IV.  Oxidy a hydroxidy;;23
24;pyroluzit;Horní Blatná;;Krušné hory;2024;20240722;;;;;IV.  Oxidy a hydroxidy;;24
25;achát;Doubravice;;Podkrkonoší;2024;20240721;;;;;IV.  Oxidy a hydroxidy;;25
